Artista,Nome da Música,Letra da Música
João Gomes,Meu Pedaço de Pecado,Meu pedaço de pecado De corpo colado Vem dançar comigo Quero ser seu namorado Ficar do seu lado Falar no ouvido que Você é a mais bonita Um pedaço da vida de felicidade Vem matar logo o desejo Faz esse vaqueiro feliz de verdade Vem matar logo eu de beijo Enquanto te vejo acabo com a saudade Tô querendo te beijar de novo O teu beijo me enlouqueceu Tudo que a gente já fez foi pouco Quero sentir o seu corpo no meu
Mari Fernandez,Parada Louca,Me ligou de madrugada Disse que tá com saudade A essa hora é covardia é sacanagem Sabe que eu não resisto Corro pra ficar contigo Meu ponto fraco é sua vozinha no ouvido Vai bebê Me pede pra fazer Aquelas paradas loucas que eu faço com você Aquelas paradas loucas que eu faço com você Não tem dia não tem hora e nem lugar É cama é no chão é no sofá Quando quiser me usar Me chama eu vou te amar
NATTAN,Love Gostosinho - Ao Vivo,"Pra que tu foge de mim? Pra que tu tenta esquecer? Se vai ser sempre assim Bebida, balada, e eu sou o fim do rolê Tu brota aqui, toda sagaz Toda fogosa e a gente faz Te dou o love que tu é fã É gostosinho, safadinho, a gente vai até de manhã E tu pedindo bota, e eu botando, vai até de manhã Um love gostosinho, safadinho, vai até de manhã E tu pedindo bota, e eu botando, vai até de manhã Tu vai, mas sempre volta Meu quarto é o fim da rota Chega jogando o sutiã, tira a calcinha Safadinha, a gente vai até de manhã Só Nattanzinho Fe-li-pe A-mo-rim Ah, Caio DJ Kaleb capitão Pra que tu foge de mim? Pra que tu tenta esquecer? Se vai ser sempre assim Bebida, balada, e eu sou o fim do rolê Tu brota aqui, toda sagaz Toda fogosa e a gente faz Te dou o love que tu é fã É gostosinho, safadinho, a gente vai até de manhã E tu pedindo bota, e eu botando, vai até de manhã"
Kadu Martins,Halls na Língua,"(Vai, Kadu Martins) (É pra tocar, pra tocar, pra tocar no paredão) Ô, que mina simpática Me olhou de canto quando eu brotei na área Oi, no Bailão da Serra que ela se destaca De JuJu na face e uma Lacoste importada Veio preparada Foi no beco do meio que começou a tocar Os proibidão, e ela começou a jogar Vou mandar uma proposta que não dá pra recusar Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca (Bota o Halls na língua, amor) (Bota o Halls na língua, amor) Que mina simpática Me olhou de canto quando eu brotei na área Oi, no Bailão da Serra que ela se destaca De JuJu na face e uma Lacoste importada Veio preparada Foi no beco do meio que começou a tocar Os proibidão, e ela começou a jogar Vou mandar uma proposta que não dá pra recusar Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca Bota o Halls na língua, amor Vai descendo com a boquinha, moça Vai, me faz esse favor Que hoje à noite vou te deixar louca (Bota o Halls na língua, amor) (Bota o Halls na língua, amor)"
Rogerinho,085 - Ao Vivo,"Cinderela, vem busca sua Lingerie Vem terminar aquela cachorrada com seu vetin Cinderela, vem busca sua Lingerie Vem terminar aquela cachorrada com seu vetin Quer de novo, quer de novo quer de novo Essa novinha quer marquinha no pescoço Tá doidinha na botada criminal, que te pega, te prende e você passa mal Quer de novo, quer de novo quer de novo Essa novinha quer marquinha no pescoço Tá doidinha na botada criminal, que te pega, te prende e você passa mal Morena gostosa do 085 Tem o paraíso embaixo do vestido Pela estrada a fora no banco da frente, ela faz umas parada diferente Oi ela não quer ganhar flores Ela não quer mais amores Só que um lugar pra sentar AA"
Felipe Amorim,Toca o Trompete,"Perdida no baile Com a pura maldade Pai dela nem sonha Mãe dela nem sabe Que a filha é bandida Que faz sacanagem Saiu com as amigas Só chega mais tarde Só chega mais tarde O que, que ela quer? O que, que ela quer? O que, que ela quer? O que, que ela quer? Novinha quer sentar pros cria Pede putaria, então vou te dar Uh, uh Balançou Gostosa, toda delicinha Amanheceu o dia e ela só quer sentar Se é isso que tu quer Eu vou te dar vai, vai, vai Senta (Ela pede pro cria dar tapa na raba na hora que ela quer) Senta Toma, toma, toma, toma, toma, toma Senta (Ela pede pro cria dar tapa na raba na hora que ela quer) Senta Toma, toma, toma, toma, toma tô, toca o trompete, vai caio Djay Felipe Amorim Essa mina quer sentar Perdida no baile Com a pura maldade Pai dela nem sonha Mãe dela nem sabe Que a filha é bandida Que faz sacanagem Saiu com as amigas Só chega mais tarde Só chega mais tarde O que, que ela quer? O que, que ela quer? Novinha quer sentar pros cria Pede putaria, então vou te dar Gostosa, toda delicinha Amanheceu o dia e ela só quer sentar (Ela pede, ela pede, la pede pro cria dar tapa na raba) Senta (Ela pede pro cria dar tapa na raba na hora que ela quer) Senta Ela toma, toma, toma, toma, toma (Ela pede, ela pede, ela pede) Senta (Ela pede pro cria dar tapa na raba na hora que ela quer) Senta (Tapa na raba, tapa na, tapa na raba, tapa na raba) Toma, toma (Tapa na, tapa na, tapa na raba)"
Mari Fernandez,Deixa Eu Viver - Ao Vivo,"Oh-oh-oh-oh Me abraça, ao mesmo tempo não me sinto abraçada Você me beija, ao mesmo tempo não me sinto beijada Parece que você é um fantasma nessa casa Te ver ou não te ver, pra mim não tá mudando em nada Me assusta ter você E mesmo assim fazendo falta Se seu amor acabou e tudo esfriou Se eu morri pra você, deixa eu viver Se seu amor acabou e tudo esfriou Se eu morri pra você, deixa eu viver Deixa eu viver Deixa eu viver Me abraça, ao mesmo tempo não me sinto abraçar Você me beija, ao mesmo tempo não me sinto Parece que você é um fantasma nessa casa Te ver ou não te ver, pra mim não tá mudando em nada Me assusta ter você E mesmo assim fazendo falta (comigo São Paulo!) Se seu amor acabou e tudo esfriou Se eu morri pra você, deixa eu viver Se seu amor acabou e tudo esfriou Se eu morri pra você, deixa eu viver Se seu amor acabou e tudo esfriou Se eu morri pra você, deixa eu viver Se seu amor acabou (e o quê? Vai!) (E tudo esfriou) Se eu morri pra você, deixa eu viver Deixa eu viver Deixa eu viver Oh-uoh-uoh-oh Oh-uoh-uoh-oh Oh-uoh-uoh-oh"
Luiz Gonzaga,17 e 700 (Dezessete e Setecentos),"Eu lhe dei vinte mil réis pra pagar tês e trezentos Você tem que me voltar: dezesseis e setecentos dezessete e setecentos Dezesseis e setecentos Mas se eu lhe dei vinte mil réis pra pagar três e trezentos você tem que me voltar - Dezesseis e setecentos Mas dezesseis e setecentos? - Dezesseis e setecentos - Por que dezesseis e setecentos? Por que dezesseis e setecentos? Mas se eu lhe dei vinte mil Réis pra pagar três e trezentos Você tem que me voltar é... Sou diplomado, frequentei a academia - Dezesseis e setecentos? Conheço geografia, sei até multiplicar - Dezesseis e setecentos? Dei vinte mango para pagar três e trezentos Dezessete e setecentos você tem que me voltar Mas eu lhe dei vinte mil réis pra pagar três e trezentos - Dezesseis e setecentos - Mas dezesseis e setecentos? - Dezesseis e setecentos? Se eu lhe dei vinte mil´Réis pra pagar três e trezentos você tem que me voltar é... -Dezesseis e setecentos - Dezesseis e setecentos? Você tem que voltar dezessete e setecentos Eu acho bom você tirar os nove fora Evitar que eu vá embora e deixe a conta sem pagar Eu já lhe disse que essa droga tá errada Vou buscar a tabuada e volta aqui pra lhe provar Você tem que me voltar é.... Dezesseis e setecentos Por que dezesseis e setecentos? -Dezesseis e setecentos? Não ´e dezessete e setecentos?"
Ary Lobo,Pedido A Padre Cícero,Ó seco tá torrando de novo o meu ceará Ó meu senhor Tenha pena do povo do lado de lá O mato era verde tá seco danado tá esturricado e nada mais deu até a esperança que dizem que é verde Nem se escapou Também já morreu Meu padrinho Cícero do Juazeiro do norte Sertanejo é cabra forte mais num vai agüentar Só existe água nos olhos do povo Chorando de novo no meu ceará *************************** Luiza
Trio Nordestino,Procurando Tú,"Morena diga Onde é que tu tava Aonde é que tu tava Onde é que tava tu Passei a noite procurando tu Procurando tu, procurando tu Eu vivo triste, meu amor me beija Mesmo que não seja beijo de amor Esse teu beijo sei que me envenena Mas não tenha pena se ele é matador Eu quero um beijo de lascar o cano Pois eu sou baiano Cabra beijador Chega pra perto, me dá um arrocho Que eu já tô roxo de tanto roer Acende o fogo da minha fogueira Que a noite inteira eu só faltei morrer Te procurando, meu amor te dando E tu me negando, fazendo eu sofrer"
